date,motorNo_1,motorNo_2,motorNo_3,motorNo_4,motorNo_5,motorNo_6,motor_place2Ratio_1,motor_place2Ratio_2,motor_place2Ratio_3,motor_place2Ratio_4,motor_place2Ratio_5,motor_place2Ratio_6,motor_place3Ratio_1,motor_place3Ratio_2,motor_place3Ratio_3,motor_place3Ratio_4,motor_place3Ratio_5,motor_place3Ratio_6,raceNumber,venue
2019-05-27, 53, 18, 11, 50, 58, 41, 33.33, 33.33, 45.45, 33.33, 33.33, 44.44, 33.33, 50.00, 72.73, 66.67, 50.00, 66.67,10,蒲　郡
2019-05-27, 35, 41, 28, 46, 39,  7, 44.25, 30.43, 40.74, 30.97, 30.84, 45.26, 64.60, 45.65, 63.89, 53.98, 42.06, 65.26,10,常　滑
2019-05-27, 16, 44, 11, 51, 48, 18, 34.36, 35.90, 35.76, 44.52, 29.45, 33.33, 52.76, 48.72, 48.34, 62.33, 43.56, 51.92,10,　津　
2019-05-27, 20, 18, 25, 27, 33, 67, 36.84, 20.83, 20.83, 32.00, 23.08, 16.00, 63.16, 33.33, 41.67, 44.00, 34.62, 36.00,10,鳴　門
2019-05-27, 59, 52, 27, 31,  1, 60, 41.44, 36.36, 45.71, 25.93, 37.74, 25.44, 59.46, 55.45, 61.90, 41.67, 57.55, 42.98,10,丸　亀
2019-05-27, 43,  2, 27, 51, 42, 21, 30.17, 25.51, 46.79, 34.31, 41.67, 31.30, 50.86, 40.82, 57.80, 46.08, 60.19, 57.39,10,若　松
2019-05-27, 42, 43, 63, 22,  8, 40, 50.66, 42.15, 29.82, 37.66, 34.02, 33.97, 65.20, 61.69, 46.33, 55.65, 52.70, 48.33,10,芦　屋
2019-05-27, 54, 29, 33, 47, 48, 57, 40.61, 32.26, 26.63, 28.96, 30.60, 30.34, 58.79, 51.61, 44.02, 44.81, 50.27, 44.94,10,唐　津
2019-05-27, 51, 64, 38, 70, 69, 37, 34.43, 16.36, 59.15, 25.00, 27.94, 32.76, 47.54, 30.91, 76.06, 42.31, 52.94, 43.10,10,大　村
2019-05-27, 46, 63, 59, 47, 24, 19, 33.49, 37.56, 31.05, 35.20, 32.86, 33.79, 48.17, 56.56, 46.58, 58.67, 48.36, 46.58,11,平和島
2019-05-27, 23, 20, 57, 31, 26, 63,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,11,多摩川
2019-05-27, 60, 66, 45, 25, 11,  6, 37.50, 32.50, 34.38, 10.00, 37.14, 48.48, 53.13, 52.50, 50.00, 20.00, 57.14, 51.52,11,浜名湖
2019-05-27, 74, 35, 51, 63, 73, 38, 50.00, 44.44, 33.33, 40.00, 44.44, 37.50, 80.00, 44.44, 50.00, 55.00, 55.56, 50.00,11,蒲　郡
2019-05-27, 33, 63, 58, 61,  8, 49, 40.37, 34.75, 41.44, 40.00, 34.91, 38.79, 54.13, 50.00, 62.16, 56.36, 49.06, 50.86,11,常　滑
2019-05-27, 32, 23, 53, 62, 14, 52, 25.71, 32.52, 34.19, 41.45, 24.67, 27.95, 37.14, 49.08, 50.32, 61.84, 42.00, 50.31,11,　津　
2019-05-27, 38, 65, 61, 13, 28, 51, 38.10, 40.91, 21.74, 16.67, 39.29, 45.45, 52.38, 50.00, 26.09, 37.50, 53.57, 59.09,11,鳴　門
2019-05-27, 54,  7, 21, 14, 55, 39, 37.50, 25.23, 24.53, 39.09, 30.91, 35.78, 58.04, 51.40, 40.57, 56.36, 50.91, 54.13,11,丸　亀
2019-05-27, 15, 56, 12, 25, 14, 48, 36.89, 38.18, 33.94, 33.04, 31.96, 34.62, 52.43, 48.18, 52.29, 53.57, 40.21, 53.85,11,若　松
2019-05-27,  6, 35, 39, 20, 18, 48, 39.30, 36.93, 35.19, 28.64, 36.44, 38.91, 55.25, 53.11, 58.37, 44.55, 60.17, 50.21,11,芦　屋
2019-05-27, 45, 20, 68, 56, 51, 44, 26.82, 40.72, 34.44, 37.64, 38.04, 35.12, 41.90, 55.69, 48.33, 53.37, 59.24, 51.19,11,唐　津
2019-05-27, 41, 27, 33, 30, 49, 76, 38.24, 34.33, 26.98, 20.97, 39.29, 42.42, 52.94, 44.78, 44.44, 30.65, 58.93, 59.09,11,大　村
2019-05-27, 37, 12, 11, 28, 57, 25, 31.08, 34.98, 33.33, 35.27, 46.36, 34.23, 50.45, 52.47, 48.48, 51.79, 62.27, 54.50,12,平和島
2019-05-27, 59, 41, 21, 33, 25, 58,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,12,多摩川
2019-05-27, 31, 56, 59, 21, 22, 57, 16.13, 29.41, 63.64, 21.88, 29.41, 28.00, 41.94, 50.00, 65.91, 37.50, 41.18, 36.00,12,浜名湖
2019-05-27, 69, 48, 24, 65, 25, 60, 44.44, 58.33, 44.44, 23.53, 33.33, 33.33, 66.67, 83.33, 50.00, 29.41, 52.38, 44.44,12,蒲　郡
2019-05-27,  2, 19, 37, 40,  5, 27, 29.00, 28.57, 31.19, 41.67, 29.59, 34.58, 50.00, 40.82, 48.62, 59.26, 46.94, 45.79,12,常　滑
2019-05-27, 34, 33, 64, 21, 38, 66, 30.77, 20.00, 37.16, 41.01, 27.63, 30.32, 41.26, 31.85, 52.70, 60.43, 45.39, 44.52,12,　津　
2019-05-27, 77, 32, 24, 76, 50, 26, 22.22, 26.92, 57.89,  0.00, 71.43, 44.44, 40.74, 46.15, 73.68, 27.27, 90.48, 66.67,12,鳴　門
2019-05-27, 17, 28, 44, 11, 34, 29, 37.96, 16.84, 20.18, 25.96, 25.22, 33.64, 57.41, 36.84, 33.03, 38.46, 36.52, 45.79,12,丸　亀
2019-05-27, 55, 35, 26, 49, 41, 19, 36.04, 33.93, 37.96, 49.02, 27.43, 37.27, 54.05, 48.21, 58.33, 66.67, 46.90, 53.64,12,若　松
